id_region;Region;Description;Nourriture
1;Alsace;"
L'Alsace :
des traditions bien vivantes
Plus petite région de France en superficie, frontalière avec la Suisse et l'Allemagne, l'Alsace est située dans une plaine fertile entre la chaîne des Vosges et la Forêt noire traversée de part en part par le Rhin.
Les maisons à colombages, construites autour des églises aux clochers romans, prêtent un charme pittoresque aux petites villes et villages alsaciens qui se succèdent sur la route des vins de Thann au sud pour se terminer à Marlenheim au nord. Province parmi les plus typiques, l'Alsace porte les marques de son passé où se confondent les influences romaines, autrichiennes et allemandes.
De Strasbourg, ville européenne classée au patrimoine mondial de l'Unesco à Colmar « petite Venise » en passant par Mulhouse, tout y dépayse le touriste : dialecte, coutumes, festivités et bien sûr cuisine.
Traditionnelle ou raffinée, la cuisine alsacienne ravira nos papilles. Charcutière autant que pâtissière, l'Alsace passe pour l'une des provinces les plus gourmandes.
La gastronomie alsacienne, fortement imprégnée des traditions culinaires germaniques, est riche en spécialités locales avec sa tourte vigneronne, sa célèbre choucroute, sa potée, son jambonneau à l'os ou son baeckeofe. Les sympathiques winstub ou fermes-auberges vous accueillent pour finir sur une note sucrée avec sa fameuse tarte aux quetsches ou son kugelhof.
Régaler n'est pas un vain mot ici, tant pour la qualité que pour la quantité.";"Les marqueurs culinaires
Graines de pavot - Genièvre - Cannelle - Raifort
Navet salé - Carvi - Chou rouge et chou à choucroute
Charcuterie alsacienne
Munster
Quetsche
Pâtisseries alsaciennes
Berlingot de Strasbourg
Vins d'Alsace
  
 Proverbe local :""La choucroute n'est bonne que lorsqu'elle est réchauffée sept fois""
 "
2;Aquitaine;"
L'Aquitaine :
l'art de vivre... à table
Troisième région française en superficie, l'Aquitaine est cernée par la chaîne des Pyrénées, le Massif central et l'océan Atlantique.
Peuplée de longue date par nos ancêtres préhistoriques, cette région se glorifie de nombreux sites archéologiques tels les grottes de Lascaux ou le long de la Vézère des plus beaux sites paléolithiques de France. Des hauteurs de la Dordogne au piémont pyrénéen, les châteaux et forteresses d'Aquitaine sont omniprésents. Bordeaux classé au patrimoine mondial de l'Unesco, Périgueux cité romaine au cœur de la «vallée de l'homme», Pau patrie d'Henri IV, l'Aquitaine se visite le long des côtes atlantiques avec Arcachon et sa dune du Pyla, ses longues plages des Landes pour finir dans le Pays Basque.
Au-delà de la célébrité mondiale de ses crus viticoles, la région s'appuie également sur les productions de volailles et de palmipèdes à foie gras, d'animaux de boucherie, de charcuteries, de fruits et légumes, de produits laitiers, mais aussi sur les productions marines et aquacoles.
Confits et foie gras sont de toutes les fêtes, mais les Bordelais ont la lamproie, les Périgourdins la truffe, les Basques le ttoro, les Lot-et-Garonnais la tourtière, et les Landais l'Armagnac, cette merveilleuse eau de vie au parfum de prune ou de violette.
D'une recette à l'autre, l'Aquitaine offre à coup sûr aux gourmets et gourmands « le goût du bonheur ».";"Les marqueurs culinaires
Ail de Garonne - Piment d'Espelette
Moelle de bœuf - Foie gras d'oie et de canard
Jambon de Bayonne
Tomate de Marmande - Truffe du Périgord - Cèpe
Pruneau d'Agen - Fraise du Périgord - Noix du Périgord
Ossau-Iraty
Vins de Bordeaux
 
 Dicton populaire"" Entre juillet et août, le boire est de bon goût ""
 "
3;Auvergne-Rhône-Alpes;"L'Auvergne :
cœur de la France
Centre de la France, patrie de Vercingétorix et berceau des Bourbons, l'Auvergne est l'une des provinces les plus typiques de notre hexagone par son folklore, ses costumes traditionnels et sa gastronomie.
Poumon vert de la France, de cités thermales au Puy en Velay, point de départ de l'un des chemins de Saint Jacques de Compostelle, l'Auvergne et ses volcans est une région pleine de charme et de caractère.
Ici, l'on prend le temps de faire sécher les jambons et les saucisses ou de laisser mitonner au coin du fourneau la soupe au chou. Les nombreux fruits et légumes offerts par les plaines fertiles de la Limagne surprennent dans cette région réputée pauvre et stérile. Les monts d'Auvergne disposent eux aussi de nombreux trésors : bœuf, salaisons, lentilles vertes, fleurs de montagne, fruits sauvages et fromages ! Parmi les plus prestigieux qui composent le plateau d'Auvergne : cantal, bleu d'Auvergne, saint nectaire...
L'association de nombreux produits donne à l'Auvergne une cuisine typée, riche et...copieuse malgré la légendaire réputation de cette région. A la carte, les Auvergnats nous proposent leur coq au vin ou leur chou farci, un petit salé aux lentilles vertes du Puy ou encore une truffade à moins que vous ne préfériez une entrecôte, celles tirées du bétail de Salers ou de l'Aubrac....
Et pour finir, après le prestigieux plateau de fromages, les célèbres cornets de Murat.""
Rhône-Alpes :
au pays des charcuteries...
Située entre Paris et la Côte d'Azur, aux frontières de la Suisse et de l'Italie, Rhône-Alpes offre des territoires diversifiés.
Traversée de part en part par le Rhône, avec Lyon capitale des Gaules, ville lumière et son site historique classé au patrimoine mondial de l'Unesco, Rhône-Alpes nous livre ses multiples facettes : plaine ou montagne de Bourg-en-Bresse au lac de Nantua, patrimoine de la Loire autour de Saint-Etienne ou de Roanne, fraîcheur dans les gorges de l'Ardèche, visites de la Drôme du Vercors à la Provence, départs pour les grandes stations de ski depuis Grenoble. Avec le Mont-Blanc en point de mire, parmi les trois plus grands lacs de France, le lac d'Annecy, le lac du Bourget et le lac Léman contrastent avec les neiges éternelles.
La région Rhône-Alpes, c'est l'Ain avec ses volailles de Bresse, c'est la Dombes avec ses grenouilles, c'est la Savoie et le Dauphiné et leurs spécialités fromagères à base de reblochon comme la tartiflette ou le soufflé au beaufort. Rhône-Alpes c'est le Tricastin et son nougat de Montélimar, c'est un avant-goût du Sud avec truffes, olives, ravioles et picodon. Le long des Côtes du Rhône se dégustent un aloyau de Fin Gras du Mézenc accompagné de son gratin dauphinois. Sur la plaine du Forez, les gourmets pourront composer leur menu autour d'une salade de barabans aux lardons suivie d'un cochon de lait du haut Forez aux baies de genièvre pour terminer sur des biscuits coulants au chocolat amer. Rhône-Alpes c'est enfin Lyon, berceau de la gastronomie, avec sa large farandole de charcuteries traditionnelles et de préparations d'abats comme le tablier de sapeur, le sabodet à la tête de porc accompagnés de son pot de beaujolais à déguster dans les nombreux « bouchons lyonnais ».
Quant aux vins, là aussi Rhône-Alpes a trouvé avec eux de formidables ambassadeurs. Côtes du Rhône septentrionales, Beaujolais, vins de Savoie et de l'Ain, les grands crus côtoient des coteaux qui se marient à merveille avec les produits issus des mêmes terroirs.
Au pays de Brillat-Savarin, auteur de la « physiologie du goût », on ne pouvait faire mieux...
 """;"Les marqueurs culinaires
Bœuf (Salers et Aubrac) - Porc - Lard - Jambon
Poulet du Bourbonnais
Chou - Lentille verte du Puy
Fromages d'Auvergne
Fruits pour les desserts
Gentiane
Vins des Côtes d'Auvergne
  
 Proverbe local"" Comme vous ferez la soupe, vous boirez le bouillon "" Les marqueurs culinaires
 
Charcuterie - Volailles de Bresse
Poissons des lacs
Pomme de terre - Truffe - Morille
Fruits des bois - Noix de Grenoble
Beaufort - Reblochon - Fourme de Montbrison
Vins du Beaujolais - Vins des Côtes du Rhône
Vins de Savoie
 Citation célèbre""A Lyon, la cuisine atteind tout naturellement ce degré suprême de l'art : la simplicité""
(Curnonsky : le prince des gastronomes - 1935)"
4;Bourgogne-Franche-Comté;"La Bourgogne :
tradition de haute cuisine
Du Bassin parisien aux confins du sillon rhodanien, la Bourgogne est empreinte de son histoire. De vestiges gaulois en clochers romans, des villes d'art aux splendeurs des châteaux, cette région est riche avec Dijon, capitale ducale devenue capitale régionale, Beaune et ses hospices, Nevers et la Loire sans oublier Mâcon et Auxerre.
Tradition de haute cuisine, dont la réputation mondiale s'ajoute à celle de son vignoble, la Bourgogne est célèbre pour ses escargots en Pays d'Othe, pour ses charcuteries comme la rosette du Morvan ou l'andouillette de Chablis. L'Auxerrois nous offre ses truffes aux arômes de noisette tandis que Charolles, berceau de la race charolaise rivalise avec la Bresse et ses célèbres volailles à crête rouge.
Depuis La Varenne, auteur d'un des premiers livres de cuisine (« Le cuisinier français »), jusqu'à Fernand Point et Alexandre Dumaine, la Bourgogne compte parmi ses enfants des noms illustres dans l'histoire de l'art culinaire. Et n'oublions pas que Belley était la ville natale de Brillat-Savarin.
Les bourguignons apprécient une cuisine relevée, qui marie l'acidité du vinaigre ou des cornichons, la saveur piquante de la moutarde et la saveur salée du lard fumé. L'onctuosité des sauces, renforcée par la présence de l'oignon, se retrouve dans les nombreux ragoûts. Douceur enfin pour les légumes, le plus souvent cuisinés à la crème.
Mais, surtout que serait la cuisine bourguignonne sans le vin ? ""
La Franche-Comté :
le pays du Comté et...
...Grâce à un terroir riche et varié, cette région gastronomique est le lieu d'une alchimie gourmande entre la nature et le savoir-faire.
En suivant la route du comté, celle des vins du Jura ou encore les Voies du sel, le touriste découvrira les pâturages verdoyants, les fruitières, les lacs des montagnes, les forêts épaisses de sapins, les villages vignerons, les fameuses fermes à « tuyé »... Champignons, salaisons, poissons et fromages complètent la palette de saveurs franc-comtoises que sont les griottes de Fougerolles, le pain d'épices de Mouthe...
Le bien mangeur s'attardera pour savourer les charcuteries franc-comtoises, les plats réconfortants à base de vin, les gratins de légumes et bien d'autres spécialités. Les jurassiens nous offrent leur poularde au vin jaune et aux morilles, le Haut-Doubs nous fait saliver avec sa cancoillotte ou sa saucisse de Morteau. Sans oublier les vins de paille, vin jaune, macvin ou encore l'absinthe, les Francs-Comtois nous invitent à déguster leur boite chaude ou leur fondue pour finir sur une note sucrée avec le « papet jurassien » ou encore les pets de nonne de Baume-les Dames ou la tarte au Goumeau.
« Franc-Comtois, rends toi. Que nenni Ma foi ! »""";"Les marqueurs culinaires
Moutarde
Lardons
Volailles de Bresse
Jambon persillé
Escargot
Oignon - Champignon
Cassis
Raisin frais en garniture
Vins de Bourgogne
 Proverbe local""Au matin, bois le vin blanc, le rouge au soir, pour faire le sang"" Les marqueurs culinaires
 
Salaisons
Comté - Morbier - Vacherin mont-d'or
Champignons
Pomme
Vins d'Arbois - Vin jaune
Kirsch (plats et desserts)
 
 Dicton local :"" Les eau-de-vie de fruits, on les met sous le grenier """
5;Bretagne;"
La Bretagne :
sous le signe de la mer
De Cancale à Saint-Nazaire, la Bretagne se visite de port en port, d'île en île le long des côtes de Granit Rose ou des côtes d'Emeraude.Haut lieu des révoltes des Chouans pendant la période révolutionnaire, la Bretagne est aujourd'hui célèbre pour ses menhirs et dolmens de Carnac, sa forêt de Brocéliande où plane l'ombre légendaire du Roi Arthur.
La cuisine de la Bretagne est une cuisine du large, de plein air et de la mer.
De Rennes, capitale de la région Bretagne, il y a le coucou dont la chair et les œufs sont très appréciés, le petit gris, ce fameux escargot à gober avec un beurre à l'ail et au persil et, bien sûr, la galette de blé noir à base de farine de sarrasin. Cancale et ses fameuses huîtres creuses ou plates suivant la saison ou la marée, Paimpol et son coco, Plougastel et ses fraises nous délectent de leurs saveurs authentiques.
La mer règne en maître sur tout le pays d'Armor, où l'on se régale de fruits de mer au goût du large, de soupe de poissons, de homard à l'armoricaine et de brochet au beurre blanc. Si la cuisine de l'Argoat, à l'intérieur des terres, est plus rustique avec ses charcuteries, son jambon fumé cru agrémenté d'un florilège de légumes en toutes saisons et ses galettes de sarrasin, la crème et le beurre y sont tout aussi présents.
Sans oublier le cidre et les crèpes en guise de douceur, et les légendaires madeleines de notre enfance...
 ";"Les marqueurs culinaires
Sarrasin
Andouille de Guémené
Homard - Moule de bouchot de la Baie du Mont Saint-Michel
Coquilles Saint-Jacques des Côtes d'Armor
Artichaut camus - Chou-fleur - Coco de Paimpol
Fraise de Plougastel
Beurre de baratte demi-sel
Cidre de Cornouaille
Chouchen
 
 Dicton marin breton"" Quand les mouettes ont pied, il est temps de virer ""
 "
6;Centre;"
Le Centre-Val-de-Loire :
douceurs de vivre en bord de Loire....
De la Beauce à la Sologne en passant par le Val de Loire, ce sont autant de paysages qui la caractérisent : plaines céréalières, marais poissonneux, étangs (« pays aux mille étangs »), forêts, landes propices à l'élevage et bords de Loire.
Haut lieu de la gastronomie où naquît Curnonsky « le prince des gastronomes » dans la ville d'Angers, ses six départements nous dévoilent leurs produits phares comme le safran du Gâtinais, la lentille verte du Berry, les nombreux poissons de la Loire, la géline de Touraine.
Côté douceurs, les forestines de Bourges, la prasline de Montargis ou encore les madeleines de Proust nous mettent l'eau à la bouche !
Réputés pour leur solide appétit, les berrichons apprécient les apprêts en pâte, tant pour les entrées que pour les desserts. L'Orléanais met plus de raffinement dans sa cuisine, que la présence des légumes et fruits rend plus légère. Cette région s'est rendue célèbre par ses pâtés en croûte ; mais ceux-ci ne peuvent éclipser le succès de la tarte tatin et du pithiviers.
Et comment ne pas évoquer le vinaigre d'Orléans, préparé autrefois avec le vin piqué des nombreux fûts acheminés vers la capitale par la Loire.
Dans cette région, tout est plaisir des yeux et du palais....";"Les marqueurs culinaires
Vinaigre et moutarde d'Orléans - Safran du Gâtinais
Gibier
Géline de Touraine
Citrouille - Belle de Fontenay
Lentille verte du Berry
Fromage de chèvre
Vins du Berry - Vins de Touraine
 
 Proverbe local"" On ne dîne pas aussi luxueusement en Berry qu'à Paris, mais on y dîne mieux ""
(Honoré de BALZAC, écrivain français né à Tours en 1799)
 "
7;Champagne-Ardenne;"
La Champagne-Ardenne :
de châteaux en campagne....
Avec Reims, cité des Sacres des Rois de France classée au patrimoine mondial de l'Unesco, Champagne-Ardenne berceau d'évènements historiques majeurs, s'identifie par ses célèbres vignobles champenois, ses forêts ardennaises, mais aussi ses nombreux cours d'eau le long de la route des crêtes.
Les noms des produits ou des spécialités restent fidèles au terroir dont ils sont issus.
Il n'est de vrai champagne que de la Champagne. Le chaource tient son nom du chef lieu de canton de l'Aube et les apprêts à la Sainte-Menehould de la ville du même nom. Le biscuit rose de Reims, unique en France, a la particularité de conserver son craquant même trempé dans le Champagne... De friandises en spécialités charcutières de Revin ou de Rethel, le gibier des Ardennes vient compléter cette table régionale.
Les nombreuses recettes ardennaises et champenoises reflètent l'inventivité et le savoir faire de cette région à l'image du brochet farci, des andouillettes de Troyes ou de la potée champenoise. Pour le dessert, on ne manquera pas les galettes au sucre, les croquignoles de Reims ou encore les bouchons de champagne au chocolat.
Cette balade culinaire ne pourra que ravir nos papilles avec ou sans bulles.";"Les marqueurs culinaires
Genièvre
Lard
Sanglier
Champignons
Chaource - Langres
Champagne - Coteaux-champenois - Rosé des Riceys
 
 Proverbe local""J'aime le vin d'ici mais pas l'eau de là""
(Pierre Dac : humoriste du XXe siècle originaire de Châlons-sur-marne
 "
8;Corse;"
La Corse :
île de beauté
De la Corse-du-Sud à la Haute-Corse, entre ses mille kilomètres de côtes et ses paysages de montagnes, on tombe sous le charme méditerranéen de cette île parcourue de routes sinueuses.
Dans le maquis corse où poussent en confusion genévriers, myrtes et arbousiers, ou sur le littoral bordé de figuiers de barbarie, partout la flore est exubérante et le relief tourmenté. « L'arbre à pain », le châtaignier, emblème de la région, donne un goût bien particulier à toutes les charcuteries comme la coppa, le prizuttu ou encore le figatelli. Les largesses de la Méditerranée et les torrents de rivières nous livrent leurs nombreux poissons et crustacés.
La cuisine de l'île de Beauté, très proche de celle de Provence, doit aussi beaucoup à l'Italie et se singularise par le cédrat, agrume proche du citron et l'emploi de brocciu et de menthe. La bouillabaisse corse rivalise avec les langoustes ou les poissons servis avec une polenta de châtaignes. Les nombreux gibiers sont la base de délicieux civets ou ragoûts
qu' accompagnent les légumes à la tomate ou encore la « petite marmite de grand-mère ».
En fin de repas, les fromages de chèvre, de brebis frais ou plus corsés accompagneront à merveille les vins riches en saveurs et arômes.";"Les marqueurs culinaires
 
Coppa
Anchois
Châtaigne
Menthe
Brocciu
Vins de corse
 Proverbe local :"" Que ce soit de paille ou de foin l'important est que le ventre soit plein ""(« O paglia o fenu basta che u corpu scia pienu »)
 
 "
9;Franche-Comté;La Franche-Comté : une région culturelle et historique de l'Est de la France métropolitaine qui correspond approximativement à l'ancienne Séquanie, puis l'ancien comté de Bourgogne (aussi appelée Franche Comté de Bourgogne). Son histoire est, à l'instar de ses voisines Lorraine et Alsace, très liée au monde germanique à travers le Saint-Empire romain germanique, dont elle a fait partie durant près de 650 ans. Elle y était intégrée au sein du cercle de Bourgogne (Burgundischer Reichskreis). Située au cœur de l'Europe élargie, la Franche-Comté est frontalière avec la Suisse et très proche de l'Allemagne, vers laquelle la trouée de Belfort amène directement, ce qui a de très longue date permis des liens directs entre monde germain à l'Est et Royaume de France à l'ouest.;"Les marqueurs culinaires
Salade de cramaillots-
Salade comtoise-
Assiette comtoise-
Girolles-
Morilles-
Croûte aux champignons-
Croûte aux morilles-
Poêlée franc-comtoise"
10;Guadeloupe;"
La Guadeloupe :
saveurs sous le soleil des Caraïbes....
La Guadeloupe est un archipel d'îlots avec cinq îles aux noms qui chantent. Représentant les « ailes d'un papillon », les deux principales sont Basse-Terre, île montagneuse et volcanique dominée par la Soufrière et Grande-Terre, île plate et calcaire adaptée à la culture de la canne à sucre. La Désirade, Marie-Galante et les Saintes, accessibles par bateau constituent les autres joyaux de la Guadeloupe.
Fruit d'un métissage entre l'Europe, l'Afrique et l'Inde, la gastronomie antillaise nous livre des saveurs épicées et colorées. Les bananes vertes, les gombos, les fruits de « l'arbre à pain » accompagnent le blaff de poisson ou le colombo de porc. Sur les étals des marchés de Pointe-à-Pitre ou de Basse-Terre, les produits de la mer, les fruits en abondance, des épices rares rivalisent pour nous concocter un repas typique. Les acras ou le crabe farci en entrée nous donnent un avant-goût des spécialités locales comme le matété de crabe, le jambon de Noël à l'ananas, le ragoût de volaille au riz haricots rouges ou plus simplement les nombreux poissons frais grillés à la sauce chien. Pour apaiser nos papilles, les fruits de l'île au goût si différent entre l'ananas, le maracudja ou la goyave nous invitent à déguster avec modération un rhum vieux, brun et boisé.
La cuisine créole est un univers d'arômes et de saveurs exquises....";"Les marqueurs culinaires
 
Epices
Poissons
Fruit à pain - Gombo - Fruits de l'île
Miel-pays - Douceurs confites
Rhum
 
 Dicton créole"" Avan mangous té vini, zagouti té ka viv "" :
"" Avant que la mangouste fût arrivée, vivait l'agouti """
