id_region;Region;Description;Nourriture
11;Guyane;"
La Guyane :
du vert et encore du vert...
Reconnue par Christophe Colomb en 1498, la Guyane devient un département d'outre-mer en 1946.
La forêt amazonienne, ses fleuves et rivières, confèrent à la Guyane une faune et une flore abondantes. Le côté nord est l'Atlantique qui rassemble l'essentiel des grandes villes avec Cayenne et ses vestiges historiques du bagne ainsi que Kourou et son centre spatial. Le côté ouest est le fleuve Maroni frontière avec le Surinam, le côté est correspond à la frontière brésilienne avec le fleuve Oyapock, quant au sud, il est constitué par des collines peu élevées des monts Tumuc-Humac.
La cuisine en Guyane est à l'image de ceux qui la font : cosmopolite avec la communauté indienne « Galibi » où le manioc est l'ingrédient principal pour la cassave, sorte de galette ou le couac, leur semoule traditionnelle. Les «Boni», communauté «Noirs Marrons», cultivent le riz, le manioc et des tubercules provenant de leurs parcelles d'abattis. Les nems ou la soupe aux nouilles nous indiquent la présence de la communauté asiatique « Hmongs » de Cacao avec leur culture maraîchère importante à l'image des marchés de Cayenne : étals d'agrumes, d'ananas, de ramboutans. Les guyanais francophones et créolophones nous régalent de leurs plats créoles pimentés tels les accras, les spécialités à base de poissons en beignets, en pimentade, en blaff, le caïman au curry, ou encore le blanc manger sans oublier le rhum à consommer avec modération.
La cuisine guyanaise est un mélange de cuisine créole, chinoise, africaine, brésilienne et du Surinam : cuisine pleine de saveurs et de délicatesse....";"Les marqueurs culinaires
 
Piment de Cayenne - Epices
Coquillages - Crustacés - Poissons
Chou Caraïbe
Fruits rouges - Fruits de palmiers
Rhum
 
 Dicton guyanais"" Le voyageur qui consomme le bouillon d'awara tombe à jamais amoureux de la Guyane et s'il n'y reste pas définitivement, il reviendra un jour ou l'autre en Guyane""
 "
12;Île-de-France;"
L'Île-de-France :
rayonnement gastronomique
Ancienne « terre des Francs » où bon nombre de châteaux ont été construits pour les rois et les seigneurs, Paris et sa région allie un patrimoine culturel, historique et gastronomique exceptionnel. C'est Paris avec ses quais, ses vieux quartiers, sa beauté célébrée dans le monde entier, ce sont Versailles et son château, les bords de Marne et ses guinguettes, Chantilly et ses courses, la vallée de Chevreuse avec ses forêts et ses abbayes, Provins et sa cité médiévale classée au patrimoine mondial de l'Unesco, la Roche-Guyon.....
L'âme du terroir francilien existe bel et bien avec ses fruits comme la pomme Faro légèrement acidulée délicieuse à croquer, la cerise de Montmorency, griotte acide, la volaille de Houdan à la chair fine et savoureuse, la moutarde de Meaux qui accompagne les andouillettes fabriquées par les anciens tripiers de la Villette. Pour terminer un repas après un Paris-brest ou un Saint-honoré, les digestifs franciliens se distinguent, avec le Grand Marnier, produit exclusivement à Neauphle-le-Château, ou encore le noyau de Poissy.
L'Île-de-France est le berceau des traditions gastronomiques et culinaires françaises. La région résume et concentre toutes les cuisines de notre pays : les produits de tous horizons y affluent, cette profusion permet aux chefs d'exprimer leur créativité. Le gastronome et autres amateurs de produits « vrais » se régaleront des saveurs gourmandes d'Île-de-France au travers des recettes de la grande cuisine ou des plats de bistrots.";"Les marqueurs culinaires
 
Moutarde de Meaux
Jambon de Paris - Volaille de Houdan
Champignon de Paris - Asperge d'Argenteuil - Cresson de Méréville
Brie
Pain parisien
Vins d'Île de France
Grand Marnier
 
 Proverbe local"" Pain coupé n'a point de maître ""
 "
13;Languedoc-Roussillon;"
Le Languedoc-Roussillon :
saveurs en pays d'Oc et catalan
Pays des Cathares, riche de 4 sites classés au patrimoine mondial de l'Unesco, cette région offre ses multiples facettes : patrimoine historique autour de Carcassonne, rencontres autour des arènes de Nîmes, quiétude dans les parcs naturels de Lozère ou au sommet du Canigou, fêtes sous le soleil languedocien pour les joutes de Sète, les férias ou encore le carnaval de Limoux.
Sur un territoire offrant une telle diversité, les produits et recettes du Languedoc-Roussillon se déclinent du littoral aux hauts-cantons.
En bord de mer, c'est un immense plateau de coquillages qui comble les amateurs d'huîtres, de moules, de tellines, de palourdes....Les poissons aux saveurs méditerranéennes tels le thon rouge, le loup de mer se dégustent au barbecue.
Tout au long de la plaine, vergers et jardins nous offrent leurs plus beaux fruits, légumes et aromates. L'olive, reine des préparations culinaires, se partage les arômes gourmands avec le basilic, le thym, le romarin, la sarriette....
Plus haut, quand la végétation se fait moins luxuriante, on entre au pays de la châtaigne, des champignons des bois et des plateaux de fromages lozériens.
En Languedoc-Roussillon, « chaque endroit a ses gourmandises ».";"Les marqueurs culinaires
 
Ail - Persillade - Olive - Huile d'olive
Anchois de Collioure - Huîtres de Bouzigues
Taureau de Camargue
Riz de Camargue
Tomate - Aubergine
Fromages de Lozère
Orange - Citron
Anis - Amande - Fleur d'oranger
Vins du Languedoc-Roussillon
 
 Dicton local"" On ne fait du bon qu'avec du très bon "" !
 "
14;Limousin;"
Le Limousin :
la qualité par l'origine...
Terre marquée par la guerre de Cent ans et par des périodes de l'histoire de la résistance, le Limousin se découvre au travers de ses plus beaux villages tels Collonges-la-Rouge, Limoges « ville d'art et d'histoire », la cité mondiale de la tapisserie Aubusson, le célèbre plateau de Millevaches et quantités de paysages de cartes postales....
La cuisine limousine doit son histoire, son authenticité et sa saveur au monde rural. Rien ne se gaspille, les bases de sa gastronomie reposent sur l'utilisation des ressources locales : les produits de la ferme (gâteau de pommes de terre, viande aux multiples recettes...), les produits des forêts tels la châtaigne ou encore les produits de la rivière.
La cuisine gourmande limousine s'appuie sur de très nombreux produits couronnés de labels et de signes officiels de qualité ainsi que des plats authentiques dont les recettes se transmettent de génération en génération.
C'est ainsi que cette cuisine de terroir sait accommoder son bœuf et sa châtaigne, sa pomme de terre avec ses langues de mouton....
« En Limousin, on n'a pas de caviar, mais on a des châtaignes » disait Antoine Blondin (écrivain du XXème siècle).";"Les marqueurs culinaires
 
Moutarde violette
Viande limousine - Porc « cul-noir »
Fruits rouges - Pomme du Limousin - Noix du Périgord - Châtaigne
Gentiane
 
 Dicton populaire"" Si les châtaignes et les raves venaient à manquer, la France serait ruinée ""
 "
15;Lorraine;"
La Lorraine :
en passant par la Lorraine...
La Lorraine, pays du verre et du cristal, est un mélange des cultures romanes et germaniques à l'image de la Place Stanislas à Nancy classée au patrimoine mondial de l'Unesco.La région est aussi mémoire de notre histoire avec Verdun et la ligne Maginot à travers toute la Lorraine.Pays des mirabelles, des cathédrales et des basiliques à l'architecture renommée, la Lorraine jouit d'un cadre attrayant.
Avec la Lorraine vosgienne, région forestière et pastorale, il existe aussi la Lorraine rurale avec les côtes de la Meuse où court la vigne et où s'épanouissent arbres fruitiers et cultures. En ingrédients, on y trouve des mélanges sublimes de produits du terroir et de caractère comme le gibier, la charcuterie des plus réputées, les poissons, les petits champignons des bois mais encore les fruits et baies sauvages.
En Lorraine, la cuisine est mise à toutes les sauces, en pot, en conserve, en pâté, en gelée, en eau-de-vie. L'étendue des spécialités lorraines, pour beaucoup mises au point par les femmes du pays, prouve que cette gastronomie ne se limite pas à l'incontournable quiche. Les plus réputées sont l'andouillette du Val d'Ajol, la potée lorraine ou la tête de veau de Rambervilliers.
La région regorge de délicieux desserts aux saveurs de la reine mirabelle, des bergamotes de Nancy, des dragées de Verdun, des griottes de Metz, des macarons de Boulay, des madeleines de Commercy.
Petits plaisirs et grands bonheurs en Lorraine !";"Les marqueurs culinaires
 
Miel de sapin des Vosges
Lard - Pâte (tourte, tarte, pâté...)
Chou rouge
Crème - Fromage blanc
Mirabelle - Confitures
Vins des côtes de Toul - Vin gris
Bière
 
 Proverbe local :"" A boire trop de mirabelle, on se retrouve à nager dans la Moselle ""
 "
16;Martinique;"
La Martinique :
paradis du rhum
Dominé par la Montagne Pelée, cette région nous offre une grande variété de paysages, des montagnes volcaniques du Nord aux zones désertiques du Sud, des plages de la côte caraïbes à l'ouest avec Fort-de-France à la côte escarpée et sa bande de corail au large de l'Atlantique.
La mer et les rivières nous livrent poissons de toutes sortes comme requin, daurade, coffre et balaou sans oublier pour les gourmets les crustacés et mollusques.
La campagne, au travers de ses champs de canne à sucre, ajoute ses produits d'élevage domestique, ses légumes et ses fruits, régals pour les desserts ou les friandises succulentes.
La cuisine antillaise, riche en couleurs et en épices est le reflet de son histoire faite de métissage des cultures européennes, africaines et hindoues ajoutées aux ancestrales traditions des amérindiens.
Maints plats ont gardé leur appellation d'origine tel le «Matoutou» de crabes ou d'écrevisses, succulent mélange de ces crustacés et de farine de manioc, très apprécié des connaisseurs et le «Matété» préparé avec les mêmes crustacés revenus dans de l'huile avec ail, oignons, thym, et piment, cuits avec du riz.
A l'apéritif autour d'un punch martiniquais, les accras précédent le plat national qu'est le court-bouillon de poisson à la créole. Au chapitre des douceurs, le savoureux « pain doux » accompagne à merveille le riz au lait à la croûte tendre et dorée.";"Les marqueurs culinaires
 
Canne à sucre
Epices - Plantes à tisane
Poissons - Crustacés
Fruit à pain - Banane créole à cuire - Ananas
Fruits créoles
Rhum
 Dicton martiniquais"" Ou vini, Ou ké rivini "" :
"" tu y es venu, tu y reviendras ""
 "
17;Occitanie;"
Midi-Pyrénées :
un avant-goût du Sud
Autour de Toulouse, berceau et capitale de la conquête du Ciel, ses huit départements regorgent de merveilles, allant des trésors naturels et architecturaux à l'image de la cité épiscopale d'Albi classée au patrimoine de l'Unesco, aux richesses traditionnelles et gastronomiques.Midi-Pyrénées, terre des croisades contre les Cathares, se livre à nous entre le Rouergue et le Causse quercinois, le Comminges pyrénéen et la Vallée du Lot, la plaine du Lauragais et les gorges du Tarn, le côteau gersois et la montagne ariégeoise !
La cuisine de Midi-Pyrénées est donc multiple, à l'image de ses terroirs.
Cuisine de montagne avec ses gibiers, ses salaisons, ses champignons, mais aussi ses plats qui doivent « nourrir son homme » tels la garbure, la truffade ou le gâteau à la broche.
Cuisine de canard et d'oie où en Gascogne « l'oie n'est pas un jeu », la truffe dans le Quercy est omniprésente sur les étals des marchés locaux.
Cuisine de plaine avec ses légumes et céréales, ses fruits, ses vignobles qui offrent à cette région quelques fleurons comme l'ail rose de Lautrec, le chasselas de Moissac, le haricot tarbais donnant au célèbre cassoulet son goût inimitable.
Cuisine de fromages à l'image du roquefort, du rocamadour qui fait la fierté du Lot, la tomme des Pyrénées ou encore le fromage de Laguiole pour un excellent aligot.
Cette diversité des saveurs, ces plaisirs gourmands parfois accompagnés d'un zeste d'Armagnac se retrouvent dans cet « art de vivre » des héritiers de l'Occitanie, ce sens de la convivialité et de la fête...";"Les marqueurs culinaires
 
Ail
Foie gras - Volailles grasses
Bœuf - Agneau
Haricot tarbais
Roquefort - Rocamadour
Chasselas de Moissac
Vins de Cahors - Vins de Gaillac
Armagnac
 
  Le saviez-vous ?La plus ancienne confrérie de l'Hexagone la « Confrérie de la Jubilation » se trouve à Toulouse.
 "
18;Nord-Pas-de-Calais;"
Le Nord-Pas-de-Calais :
saveurs sucrées-salées
Le Nord tourné vers la Belgique, la Hollande et l'Allemagne, le Pas-de-Calais vers l'Angleterre si proche font de cette région un nouveau carrefour de l'Europe. Des plaines et collines d'Artois aux bocages de l'Avesnois, des beffrois des villes marchandes aux fortifications des citadelles frontalières, des terrils autour de Béthune aux moulins à eau et à vent dans les monts de Flandres, des géants de Gayant au carnaval de Dunkerque : voici une région riche de ses diversités.
Cette diversité se retrouve dans la gastronomie régionale tout en contraste: sucrée-salée à l'image de sa carbonade flamande.
Une cuisine de la mer et une cuisine des champs, avec quatre bases incontournables : le hareng qui a établi son royaume à Boulogne, premier port français, le lapin, les pommes de terre et la bière.
A Lille et dans le Nord, tout se cuisine à la marmite. Ainsi le Waterzoi, ou encore une bouillabaisse avec divers poissons de rivières qui se retrouvent à mijoter dans la marmite ! Sur la Côte, on prépare l'anguille au beurre, à la crème et aux herbes douces. À Cambrai, on retrouve des Bêtises et des Andouilles...
Les « estaminets » sont le lieu idéal pour goûter les plats typiques du Nord accompagnés d'une bière et entrecoupés des jeux traditionnels flamands tels le jeu de la grenouille, le trou Madame ou encore le saut de puce...
La cuisine traditionnelle est à l'image des « gens du Nord » : généreuse et chaleureuse.";"Les marqueurs culinaires
 
Chicorée - Cassonade
Ail fumé d'Arleux
Andouille de Cambrai
Hareng
Endive - Pomme de terre - Haricot lingot du Nord
Maroilles
Bière
 
 Parlez-vous le ch'timi ?Chirloute : Café très léger,
Jus d'quochette : Jus de chaussette
Glou-bec : Gourmet,
Guinse : Faire bonne chaire
 "
19;Normandie;"
La Normandie :
au pays de la pomme et du lait...
La Normandie nous livre ses vergers de pommiers en fleurs, ses villes et villages tel Bayeux et sa célèbre tapisserie, ou encore le Havre, toutes deux classées au patrimoine mondial de l'Unesco.
Du Cotentin au pays de Bray, en passant par le Domfrontais, le pays d'Auge ou les pays de la Risle, la Normandie est une des rares régions qui nous concocte des repas entiers et variés, de l'entrée au dessert sans oublier les boissons.
Ainsi, la mer se déguste avec ses grands crus d'huîtres normandes, ses coquilles Saint-Jacques dont la baie de Seine est le premier producteur. Les verts pâturages normands nous proposent des viandes savoureuses aux spécialités régionales comme les tripes à la mode de Caen ou l'andouille de Vire.
Beurre, crème et fromages sont les fleurons de la Normandie. Taillevent, originaire de Pont-Audemer, en aurait fait bon usage dans son livre de recettes avec des spécialités crémées comme la limande normande, le poulet vallée d'Auge ou encore la teurgoule.
Pour le dessert, la pomme est l'âme de la Normandie. Pomme à couteau, les Normands cuisinent plus volontiers leurs pommes en douillons, en mousse, en tarte chaude avec sa jatte de crème. Pour un normand, le bien mangé est plus qu'une tradition... c'est un devoir.";"Les marqueurs culinaires
 
Vinaigre de cidre
Salaison
Fruits de mer (moule, huître)
Champignon - Pomme
Crème fraîche - Beurre
Cidre - Calvados
 
  Citation"" La Normandie est comme les pommiers : les racines bien en terre, le front tourné vers la mer""
(Guy de Maupassant)"
20;Pays de la Loire;"
Les Pays de la Loire :
le jardin de la France
Si Saint-Nazaire est un important port de marine marchande, Nantes la capitale régionale, Saumur et son cadre noir, Angers la douce, le cœur de la région se découvre au fil de ses affluents en vélo, à pied et plus encore sur l'eau.La Vendée oppose marais salants et bocages aux plages de sable et côtes de granit. L'Anjou a son Val, ses châteaux lumineux, ses abbayes et ses campagnes horticoles. Le Bas-Maine, aux landes entrecoupées de champs de seigle et de sarrasin, offre ses prairies aux porcelets et aux vaches pie-noir.
La gastronomie en Pays-de-Loire est à l'image de sa géographie. La Loire-Atlantique nous offre ses légumes primeurs, Guérande et son « or blanc », son muscadet et un détour par Nantes pour le véritable Petit Beurre LU. La Mayenne est reine dans sa production de lait alors que les fleurons du Maine et Loire sont le Cointreau, le Guignolet à consommer avec modération. La Sarthe est réputée pour ses rillettes mais aussi son élevage de volailles de Loué. La Vendée nous régale de son jambon aux mogettes, de sa célèbre brioche vendéenne pendant que le littoral déballe ses huîtres creuses, ses sardines, ses crevettes et palourdes.
Les Pays-de-Loire nous invitent à un voyage gastronomique mêlant les appels du « grand large » et le calme des terroirs.";"Les marqueurs culinaires
 
Sarrasin
Sel de Guérande - Sel d'Oléron
Produits de la mer
Mogette de Vendée - Pomme de terre de Noirmoutier
Beurre - Pont-l'Evêque
Brioche vendéenne
Cidre
 
      Dicton"" Muscadet le matin, chasse le médecin ! ""
 "
21;Picardie;"
La Picardie :
terre de blé...
La Somme, pays aux plaines riches, est une terre de marécages avec les hortillonnages d'Amiens et son marché flottant. L'Aisne et ses villes comme Laon ou Soissons, capitales du royaume de France, nous offre des paysages verdoyants de bocages comme la Thiérache qui viennent contraster avec les grandes plaines céréalières et betteravières du Vermandois. L'Oise, plus habitée, avec ses châteaux de Chantilly ou d'Ermenonville, alterne les grandes étendues du Vexin français et ses belles forêts comme Compiègne.
La cuisine picarde est aussi généreuse que ses habitants. Ainsi, le canard en croûte d'Amiens, le pâté d'anguilles de la baie de Somme rivalisent avec les nombreuses préparations mijotées telle la caqhuse. Au pays d'Antoine Parmentier, les savoureux légumes régionaux et le célèbre haricot de Soissons viennent accompagner à merveille le gigot d'agneau de pré-salé de la baie de Somme. La ficelle picarde, la flamiche au poireau, les harengs marinés à l'Abbevilloise éveillent nos papilles gustatives avant de déguster le maroilles ou le rollot. Les fruits rouges de Noyon et le gâteau battu régalent petits et grands.
La Picardie a de quoi séduire les gourmands...";"Les marqueurs culinaires
Cassonade
Canard - Agneau de pré-salé
Poireau - Endive - Pomme de terre
Maroilles
Bière - Cidre"
22;Poitou-Charentes;"
Poitou-Charentes :
au pays du chabichou....
Au carrefour de l'oc et de l'oil, pays de terre et d'eaux, douce avec le marais et salée avec la côte atlantique, la Charente nous invite à la découverte du second vignoble français en passant par la « capitale de la BD ».Cité millénaire dotée d'un riche patrimoine, la Rochelle est aujourd'hui reliée à l'Île de Ré par le plus long pont de France pour la visite des marais salants.Classée ville d'Art et d'Histoire et son Futuroscope, Poitiers est l'entrée du marais poitevin propice à la culture de l'angélique. Le bocage est le « pays » des pommes de terre, chou, melon et oignon mais aussi des porcs et bovins dont la race mixte lait-viande, la parthenaise.
La région Poitou-Charentes, qu'il s'agisse de boire ou de manger, n'est pas avare de saveurs gourmandes qui réjouissent nos papilles.
Des huîtres de Marennes-Oléron, des moules de bouchot, du beurre Charentes-Poitou, de l'agneau du Poitou, du bougon ou du chabichou, du cognac ou du pineau des Charentes, les gourmets sont comblés.
La cuisine se partage entre la terre et la mer : potée, rôti, ragoût ainsi que chaudrée, mouclade...
Fiers de leurs produits et de leurs spécialités, les passionnés ont créé de nombreuses associations : la confrérie de la cagouille, les mangeux de lumas, les gouste-chèvres de France, les compagnons du tourteau fromager...";"Les marqueurs culinaires
 
Escargot petit-gris
Moule - Huître de Marennes-Oléron
Haricot blanc - Pomme de terre de l'île de Ré - Poireau
Beurre - Chabichou - Fromage blanc caillebotte
Angélique
Cognac - Pineau des Charentes
 Dicton populaire"" Il n'est de Chabichou que du Poitou ""
 "
23;Provence-Alpes-Côte d'Azur;"
Provence-Alpes-Côte-D'Azur :
au chant des cigales...
La Provence, entre Camargue et baie de Saint-Tropez, nous ravit avec ses canyons tels l'Ubaye, les gorges du Verdon et ses grands plateaux de lavande de Valensole. Marseille l'exubérante rivalise avec le tranquille Lubéron ou la Cité des Papes, classée au patrimoine mondial de l'Unesco. Les Hautes Alpes nous amènent vers la Barre des Ecrins et aux confins de la frontière italienne, la Côte d'Azur nous permet de côtoyer les chamois du Mercantour ou la faune sous-marine de la belle Bleue.
La « PACA » gourmande se retrouve dans les senteurs et les saveurs à déguster à l'ombre des oliviers, à l'abri du mistral ou de la tramontane. Tout sent bon dans cette région : le génépi dont on fait une excellente liqueur, les fruits et légumes sur les étals colorés des marchés, les herbes aromatiques comme le thym, le romarin, l'ail qui viennent agrémenter les spécialités à base de taureau camarguais ou du mouton mérinos.
Au pays d'Auguste Escoffier, « Roi des cuisiniers et cuisinier des Rois », créateur de la pêche Melba, laissons-nous tenter à l'heure de l'apéritif par une anchoïade. Marseille et son vieux port nous offre sa bouillabaisse tandis que les hauteurs de Gap nous déclinent son gratin de pâtes fraiîches aux épinards et aux fromages de pays.
Au plus fort de la chaleur, une salade niçoise nous rafraîchira sans oublier les douceurs et gourmandises sucrées favorites de Mme de Sévigné.";"Les marqueurs culinaires
Basilic - Ail - Olive - Huile d'olive - Plantes aromatiques
Anchois - Câpres
Tomate - Fruits
Vins de Provence"
24;Réunion;"
La Réunion :
île bleue et verte...
Île très escarpée et volcanique avec le Piton des Neiges et le Piton de la Fournaise en activité, cette région alterne des paysages de cirques et de pitons classés au patrimoine de l'Unesco, de gorges boisées, de cascades et de lagons verts et bleus. Les « Bas », littoral, plages, barrière de corail contrastent avec les « Hauts », territoire de montagnes, boisés et la culture des plantes vivrières, d'élevage ou encore d'immenses étendues de champs de canne à sucre.
Mélange d'influence malgache, française, indienne, est-africaine et chinoise, la cuisine réunionnaise est une alchimie de saveurs chaudes, colorées et épicées.
Dès l'apéritif, les beignets de capucine ou de crevettes, les amuse-gueule comme les samoussas, les bonbons piment, les bouchons, les piments farcis nous ouvrent l'appétit pour déguster le cari réunionnais à base de poissons ou de viande toujours accompagné de légumes pour adoucir nos papilles. Les fruits et légumes, en abondance sous ce climat tropical, sont préparés en rougail, en beignets ou en achards. La richesse de la mer avec espadon, barracuda, thon banane donne aux amateurs le choix entre le poisson gingembre, le rougail crevette ou la langouste grillée.
Les gourmands finiront sur de bons sorbets de letchis, de goyaviers sans oublier les succulentes friandises accompagnées d'un rhum arrangé à consommer avec modération.
La cuisine créole est une fête pour les yeux et les papilles...";"Les marqueurs culinaires
 
Epices - Canne à sucre - Vanille de Bourbon
Poissons
Lentille de Cilaos
Ananas Victoria - Litchi - Fruits de la Réunion
Vins de Cilaos - Rhum"
